question_number,question,choices_a,choices_b,choices_c,choices_d,answer,topic
1,"จำนวนนับที่มากที่สุดที่มี 6 หลัก คือจำนวนใด","999,999","1,000,000","999,000","100,000","ก","จำนวนนับ"
2,"ค่าประมาณใกล้เคียงจำนวนเต็มหมื่นของ 345,678 คือเท่าใด","340,000","350,000","345,000","346,000","ข","ค่าประมาณ"
3,"527,463 + 184,329 = ?","711,792","701,792","712,792","711,892","ก","การบวก"
4,"800,000 - 256,738 = ?","543,262","553,262","544,262","543,362","ก","การลบ"
5,"2,345 × 67 = ?","157,115","156,115","157,215","158,115","ก","การคูณ"
6,"345,678 ÷ 6 = ?","57,613","57,713","56,613","57,513","ก","การหาร"
7,"ข้อใดเรียงลำดับจากมากไปน้อยได้ถูกต้อง","987,654 > 978,654 > 897,654","897,654 > 978,654 > 987,654","978,654 > 897,654 > 987,654","987,654 > 897,654 > 978,654","ก","การเปรียบเทียบ"
8,"ค่าของตัวเลข 7 ในจำนวน 375,482 คือเท่าใด","7,000","70,000","700","700,000","ข","ค่าประจำหลัก"
9,"จำนวนที่อยู่ระหว่าง 450,000 กับ 460,000 และหารด้วย 5 ลงตัว คือข้อใด","453,215","455,000","457,321","451,003","ข","จำนวนนับ"
10,"ร้านค้าสั่งสินค้ามา 125,480 ชิ้น ขายไปแล้ว 87,295 ชิ้น เหลือสินค้ากี่ชิ้น","38,185","37,185","38,285","39,185","ก","โจทย์ปัญหาการลบ"
11,"โรงเรียนมีนักเรียน 1,245 คน แต่ละคนต้องจ่ายค่าเทอม 3,500 บาท โรงเรียนได้รับเงินค่าเทอมทั้งหมดเท่าไร","4,357,500","4,367,500","4,257,500","4,347,500","ก","โจทย์ปัญหาการคูณ"
12,"แม่ค้าซื้อส้มมา 2,580 ผล แบ่งใส่ถุง ถุงละ 12 ผล จะแบ่งได้กี่ถุง และเหลือกี่ผล","215 ถุง เหลือ 0 ผล","214 ถุง เหลือ 12 ผล","215 ถุง เหลือ 6 ผล","216 ถุง เหลือ 0 ผล","ก","โจทย์ปัญหาการหาร"
13,"ค่าประมาณใกล้เคียงจำนวนเต็มแสนของ 1,456,789 คือเท่าใด","1,400,000","1,500,000","1,450,000","1,460,000","ข","ค่าประมาณ"
14,"ตัวเลขฮินดูอารบิกของ ห้าแสนสามหมื่นสี่พันเก้าร้อยเจ็ดสิบสอง คือข้อใด","534,972","530,972","534,792","543,972","ก","การอ่านและเขียนตัวเลข"
15,"ผลลัพธ์ของ (456 × 23) + (544 × 23) เท่ากับเท่าใด","23,000","22,000","24,000","21,000","ก","สมบัติการแจกแจง"
